ObservedagentID;CounterpartyID;ContractID;InstrumentID;JointLiabilityAmount;CounterpartyRole;CounterpartyRoleEndDate
13369;6305574;PRE000000305;PRE000000305;0.00;1;
13369;6305574;PRE000000305;PRE000000305;0.00;7;
13369;6305574;PRE000000308;PRE000000308;0.00;1;2024-06-12
13369;6305574;PRE000000308;PRE000000308;0.00;7;2024-06-12
13369;6305574;PRE000000310;PRE000000310;0.00;1;2024-06-24
13369;6305574;PRE000000310;PRE000000310;0.00;7;2024-06-24
13369;6305574;PRE000000318;PRE000000318;0.00;1;
13369;6305574;PRE000000318;PRE000000318;0.00;7;
13369;6305574;PRE000000319;PRE000000319;0.00;1;
13369;6305574;PRE000000319;PRE000000319;0.00;7;
13369;6305574;PRE000000322;PRE000000322;0.00;1;
13369;6305574;PRE000000322;PRE000000322;0.00;7;
13369;6305574;PRE000000323;PRE000000323;0.00;1;
13369;6305574;PRE000000323;PRE000000323;0.00;7;
13369;6305574;PRE000000326;PRE000000326;0.00;1;
13369;6305574;PRE000000326;PRE000000326;0.00;7;
13369;6305574;PRE000000330;PRE000000330;0.00;1;
13369;6305574;PRE000000330;PRE000000330;0.00;7;
13369;6305574;PRE000000337;PRE000000337;0.00;1;
13369;6305574;PRE000000337;PRE000000337;0.00;7;
13369;6305574;PRE000000341;PRE000000341;0.00;1;
13369;6305574;PRE000000341;PRE000000341;0.00;7;
13369;6305574;PRE000000344;PRE000000344;0.00;1;
13369;6305574;PRE000000344;PRE000000344;0.00;7;
13369;6305574;PRE000000350;PRE000000350;0.00;1;
13369;6305574;PRE000000350;PRE000000350;0.00;7;
13369;6305574;PRE000000357;PRE000000357;0.00;1;
13369;6305574;PRE000000357;PRE000000357;0.00;7;
13369;6305574;PRE000000361;PRE000000361;0.00;1;2024-06-12
13369;6305574;PRE000000361;PRE000000361;0.00;7;2024-06-12
13369;6305574;PRE000000369;PRE000000369;0.00;1;2024-06-19
13369;6305574;PRE000000369;PRE000000369;0.00;7;2024-06-19
13369;6305574;PRE000000370;PRE000000370;0.00;1;
13369;6305574;PRE000000370;PRE000000370;0.00;7;
13369;6305574;PRE000000374;PRE000000374;0.00;1;
13369;6305574;PRE000000374;PRE000000374;0.00;7;
13369;6305574;PRE000000381;PRE000000381;0.00;1;
13369;6305574;PRE000000381;PRE000000381;0.00;7;
13369;6305574;PRE000000384;PRE000000384;0.00;1;
13369;6305574;PRE000000384;PRE000000384;0.00;7;
13369;6305574;PRE000000386;PRE000000386;0.00;1;2024-06-03
13369;6305574;PRE000000386;PRE000000386;0.00;7;2024-06-03
13369;6305574;PRE000000387;PRE000000387;0.00;1;2024-06-10
13369;6305574;PRE000000387;PRE000000387;0.00;7;2024-06-10
13369;6305574;PRE000000388;PRE000000388;0.00;1;2024-06-10
13369;6305574;PRE000000388;PRE000000388;0.00;7;2024-06-10
13369;6305574;PRE000000392;PRE000000392;0.00;1;
13369;6305574;PRE000000392;PRE000000392;0.00;7;
13369;6305574;PRE000000393;PRE000000393;0.00;1;2024-06-11
13369;6305574;PRE000000393;PRE000000393;0.00;7;2024-06-11
13369;6305574;PRE000000397;PRE000000397;0.00;1;2024-06-20
13369;6305574;PRE000000397;PRE000000397;0.00;7;2024-06-20
13369;6305574;PRE000000399;PRE000000399;0.00;1;2024-06-26
13369;6305574;PRE000000399;PRE000000399;0.00;7;2024-06-26
13369;6305574;PRE000000400;PRE000000400;0.00;1;
13369;6305574;PRE000000400;PRE000000400;0.00;7;
13369;6305574;PRE000000401;PRE000000401;0.00;1;
13369;6305574;PRE000000401;PRE000000401;0.00;7;
13369;6305574;PRE000000402;PRE000000402;0.00;1;2024-06-10
13369;6305574;PRE000000402;PRE000000402;0.00;7;2024-06-10
13369;6305574;PRE000000405;PRE000000405;0.00;1;
13369;6305574;PRE000000405;PRE000000405;0.00;7;
13369;6305574;PRE000000406;PRE000000406;0.00;1;
13369;6305574;PRE000000406;PRE000000406;0.00;7;
13369;6305574;PRE000000407;PRE000000407;0.00;1;
13369;6305574;PRE000000407;PRE000000407;0.00;7;
13369;6305574;PRE000000409;PRE000000409;0.00;1;
13369;6305574;PRE000000409;PRE000000409;0.00;7;
13369;6305574;PRE000000411;PRE000000411;0.00;1;
13369;6305574;PRE000000411;PRE000000411;0.00;7;
13369;6305574;PRE000000412;PRE000000412;0.00;1;
13369;6305574;PRE000000412;PRE000000412;0.00;7;
13369;6305574;PRE000000413;PRE000000413;0.00;1;
13369;6305574;PRE000000413;PRE000000413;0.00;7;
13369;6305574;PRE000000414;PRE000000414;0.00;1;
13369;6305574;PRE000000414;PRE000000414;0.00;7;
13369;6305574;PRE000000417;PRE000000417;0.00;1;
13369;6305574;PRE000000417;PRE000000417;0.00;7;
13369;6305574;PRE000000419;PRE000000419;0.00;1;
